"ID","Tramite","Campaña","Numero_semanas_por_campaña","EMedia_Tramites_por_semana","EBaja_Tramites_por_semana","EAlta_Tramites_por_semana","EMedia_Tramites_por_campaña","EBaja_Tramites_por_campaña","EAlta_Tramites_por_campaña"
"COAHUILA-DTO-5","ENTREGA_CPV","CAP_2021",13,434,415.5,760.5,5642,5401.5,9886.5
"COAHUILA-DTO-5","TOTAL_SOLICITUDES","CAP_2021",13,925,476.5,1198.5,12025,6194.5,15580.5
"COAHUILA-DTO-6","ENTREGA_CPV","CAP_2021",13,219,200.5,400,2847,2606.5,5200
"COAHUILA-DTO-6","TOTAL_SOLICITUDES","CAP_2021",13,467,221.5,781,6071,2879.5,10153
"COAHUILA-DTO-7","ENTREGA_CPV","CAP_2021",13,287,261,450,3731,3393,5850
"COAHUILA-DTO-7","TOTAL_SOLICITUDES","CAP_2021",13,543,288.5,865,7059,3750.5,11245
"COLIMA-DTO-1","ENTREGA_CPV","CAP_2021",13,369,324,523,4797,4212,6799
"COLIMA-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,717,315,984,9321,4095,12792
"COLIMA-DTO-2","ENTREGA_CPV","CAP_2021",13,296,166,513,3848,2158,6669
"COLIMA-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,629,223,1001,8177,2899,13013
"DURANGO-DTO-1","ENTREGA_CPV","CAP_2021",13,227,162.5,371.5,2951,2112.5,4829.5
"DURANGO-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,209,183,852.5,2717,2379,11082.5
"DURANGO-DTO-2","ENTREGA_CPV","CAP_2021",13,259,155,456.5,3367,2015,5934.5
"DURANGO-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,434,226.5,1091.5,5642,2944.5,14189.5
"DURANGO-DTO-3","ENTREGA_CPV","CAP_2021",13,141,112,299.5,1833,1456,3893.5
"DURANGO-DTO-3","TOTAL_SOLICITUDES","CAP_2021",13,323,118.5,702,4199,1540.5,9126
"DURANGO-DTO-4","ENTREGA_CPV","CAP_2021",13,602,561.5,904,7826,7299.5,11752
"DURANGO-DTO-4","TOTAL_SOLICITUDES","CAP_2021",13,1135,505,1430.5,14755,6565,18596.5
"GUANAJUATO-DTO-1","ENTREGA_CPV","CAP_2021",13,224,216.5,429,2912,2814.5,5577
"GUANAJUATO-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,488,190.5,892,6344,2476.5,11596
"GUANAJUATO-DTO-10","ENTREGA_CPV","CAP_2021",13,284,234,767.5,3692,3042,9977.5
"GUANAJUATO-DTO-10","TOTAL_SOLICITUDES","CAP_2021",13,961,231,1241,12493,3003,16133
"GUANAJUATO-DTO-11","ENTREGA_CPV","CAP_2021",13,324,136.5,464.5,4212,1774.5,6038.5
"GUANAJUATO-DTO-11","TOTAL_SOLICITUDES","CAP_2021",13,589,261,858,7657,3393,11154
"GUANAJUATO-DTO-12","ENTREGA_CPV","CAP_2021",13,564,450.5,918,7332,5856.5,11934
"GUANAJUATO-DTO-12","TOTAL_SOLICITUDES","CAP_2021",13,718,452.5,1493,9334,5882.5,19409
"GUANAJUATO-DTO-13","ENTREGA_CPV","CAP_2021",13,167,145,388,2171,1885,5044
"GUANAJUATO-DTO-13","TOTAL_SOLICITUDES","CAP_2021",13,426,136.5,886.5,5538,1774.5,11524.5
"GUANAJUATO-DTO-14","ENTREGA_CPV","CAP_2021",13,227,191,395.5,2951,2483,5141.5
"GUANAJUATO-DTO-14","TOTAL_SOLICITUDES","CAP_2021",13,438,167,986.5,5694,2171,12824.5
"GUANAJUATO-DTO-15","ENTREGA_CPV","CAP_2021",13,269,245.5,422,3497,3191.5,5486
"GUANAJUATO-DTO-15","TOTAL_SOLICITUDES","CAP_2021",13,515,216,806.5,6695,2808,10484.5
"GUANAJUATO-DTO-2","ENTREGA_CPV","CAP_2021",13,307,244.5,553,3991,3178.5,7189
"GUANAJUATO-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,748,224.5,1006,9724,2918.5,13078
"GUANAJUATO-DTO-3","ENTREGA_CPV","CAP_2021",13,309,224,449,4017,2912,5837
"GUANAJUATO-DTO-3","TOTAL_SOLICITUDES","CAP_2021",13,328,315.5,850.5,4264,4101.5,11056.5
"GUANAJUATO-DTO-4","ENTREGA_CPV","CAP_2021",13,230,176,385.5,2990,2288,5011.5
"GUANAJUATO-DTO-4","TOTAL_SOLICITUDES","CAP_2021",13,430,186,777,5590,2418,10101
"GUANAJUATO-DTO-5","ENTREGA_CPV","CAP_2021",13,563,500,854.5,7319,6500,11108.5
"GUANAJUATO-DTO-5","TOTAL_SOLICITUDES","CAP_2021",13,711,503,1602,9243,6539,20826
"GUANAJUATO-DTO-6","ENTREGA_CPV","CAP_2021",13,346,259,711.5,4498,3367,9249.5
"GUANAJUATO-DTO-6","TOTAL_SOLICITUDES","CAP_2021",13,706,337,1112.5,9178,4381,14462.5
"GUANAJUATO-DTO-7","ENTREGA_CPV","CAP_2021",13,249,115.5,537.5,3237,1501.5,6987.5
"GUANAJUATO-DTO-7","TOTAL_SOLICITUDES","CAP_2021",13,617,167.5,1095.5,8021,2177.5,14241.5
"GUANAJUATO-DTO-8","ENTREGA_CPV","CAP_2021",13,361,261.5,567,4693,3399.5,7371
"GUANAJUATO-DTO-8","TOTAL_SOLICITUDES","CAP_2021",13,322,297.5,1195,4186,3867.5,15535
